"date","y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x24","x25","x26","x27","x28","x29","x30"
"2020/5/15",3540,29.43,32.5,487.5,173.6973182,-5.1,-21,-136.5130298,0.517228872,0.911647717,-217.699115,28.475,653.475,-61.525,103.475,405,588.475,89.4,73.5,79.3,48.8,72,68,-1,15.5,23.4,15.7,414,129.9,18.5
"2020/5/22",3560,32.25,35.13,532.5,243.784546,4.24,-77.8,-578.2683327,0.557852738,0.911647717,25.66371681,215.55,765.55,180.55,475.55,305,735.55,89.3,73.3,79.1,48.8,77,70,1.2,13.5,21.7,13,415,132.8,18.4
"2020/5/29",3573,35.49,37.84,547.5,344.0769616,7.16,-126.99,-720.9727189,0.563656148,0.932239783,-40.7079646,110.545,660.545,140.545,260.545,275,615.545,90,74.5,80.5,48.8,78,72,3,15.4,20.9,13,415,137.7,18.4
"2020/6/5",3627,39.55,42.3,546.5,296.0867814,-11.98,-101.51,-755.5341179,0.552412042,0.922735753,114.159292,177.68,652.68,197.68,377.68,185,632.68,90.6,75,81.2,48.8,78,71,-2.3,14.2,21.1,12.7,425,138.1,18.2
"2020/6/12",3485,36.26,38.73,562.5,142.9356042,-25.84,-284.05,-1310.403997,0.585781647,0.922735753,92.03539823,243,693,388,523,225,728,91.7,77.4,84.2,48.8,79,69,-1.9,15.6,21.7,13.5,413,138.3,18.3
"2020/6/19",3597,39.75,42.19,567.5,-77.90616128,-56.48,-201.11,-1282.826524,0.602466449,0.913055722,47.78761062,95.63,495.63,215.63,265.63,205,480.63,90.7,76.6,83.1,48.8,79,68,0,17.4,24.2,15.7,427,137.2,18.4
"2020/7/3",3510,40.65,42.8,579.5,88.19549782,-26.4,-333.5,-1291.205391,0.594849474,0.929599775,42.92035398,-11.75,488.25,-71.75,-136.75,200,333.25,92,77.5,84.8,46,73,64,4.5,18.9,27.8,17.1,420,140.4,17.6
"2020/7/10",3390,40.55,43.24,592.5,10.63305783,-26.4,-484.5,-1329.501345,0.58034095,0.916927734,-39.82300885,-31.775,543.225,-251.775,-346.775,260,323.225,92,77,84.8,43.3,72,62,6,19.3,29.6,18.9,412,146.3,17.8
"2020/7/17",3475,40.59,43.14,589.5,12.89295602,-27.72,-391.85,-1240.790009,0.574537541,0.932767785,10.17699115,-68.8,406.2,-373.8,-268.8,295,221.2,90.9,75.2,82.6,43.3,69,53,7.4,18,31.7,20.7,417,148.3,18
"2020/7/24",3600,41.29,43.34,572.5,-28.2840764,-33,-214.9,-1097.788889,0.597751179,0.932767785,204.4247788,-64.95,285.05,-369.95,-214.95,130,160.05,91.5,75.3,82.7,43.3,74,64,5.3,16.3,29.4,17.5,431,151.4,18.1
